aagę	she did say
gadehęhs	I am embarrassed, ashamed
gadejiohgyas	I am cutting my nails
gadęnigǫhahniyahsta	I have patience
gadęnowęhta	I am in denial; I am denying
gadenyagwahta	I make myself vomit
gadenyagwahta	I make myself vomit; I am bulemic
gadenyędęhs	I try all the time
gadenyǫ	it is empty
gadęs	it is thick, dense
gadeshahsdǫha	I use my strength
gadetetras	I am powdering myself
gadidagrǫ	they (animal) are lying down
gadidakse	they (animal) are running all over
gadidaksenǫgye	they (animal) are running about, roaming
gadidaksenǫgyes	they (animal) are running about, roaming
gadidrehdahkwa	vehicular pathways, roads
gadidrǫ	they (animal) live (designates a shed, dog house; etc.)
gadigowanęh	they (animal) are big
gadigowanęs	they (animal) are bigger than the rest
gadigyenǫgye	they (animal) are flying, floating about in the air (i.e. seeds, etc.)
gadigyenǫgyes	they (animal) are flying, floating about in the air (i.e. seeds, etc.)
gadihnegahedahkwa	animal watering place; watering hole; trough
gadihnęyes	they (animal) are tall
gadihsdihsras	moth larvae (literally: they eat cloth)
gadihsiha	they (animal) are congregated
gadijǫdagrahs	they (animal) smell like fish
gadinahsgwiyo	they (animal) are good pets
gadinahtsagrahs	their (animal) bums smell
gadinętsot	they (animal) have an arm
gadinhodǫnyǫ	they (animal) are locked up
gadinhodǫnyǫ gadinyo	zoo animals
gadinǫhwes	they (animal) like it
gadinojot	they (animal) have teeth
gadinrahdas	they (animal) eat the leaves
gadinyo	wild animals
gadisgwaohes	Stonegather sucker (fish)
gadit	they (animal) are standing 
gaditsedǫdadǫ	Shaking the Bottle
gaditsenę	farm animals; (literally: they (animal) are domesticated, tame)
gaditsenę hadidrǫdahkwa	pasture
gaditsenę hanyohs	butcher; (literally: he kills the animals)
gaditsgodǫ	they (animal) are sitting
gaditsgot	they (animal) are all sitting
gadiyadagwęniyo	they (animal) are the main ones
gadiyahshǫnyǫ	their (animal) names
gadiyasǫh	they (animal) are called, named
gadiyenahs	they (animal) catch something
gadogę	a certain way; together; a certain thing
gadǫh	I am saying it all the time
gadonyes	I drive continually
gadowih	I drive all the time
gadowihs	I drive all the time
gadowihshęhę	I rest all the time
gadrehda	car, truck, vehicle
gadrehda degęnaǫha	car races
gadrehda gajihsdota	car's headlights
gadrehdaę	one parked car
gadrehdaędǫ	the cars are parked
gadrehdagayǫh	old car
gadrehdagęhę	it was a car
gadrehdagwegǫh	all the cars
gadrehdahshǫǫh	three or more cars (variety of cars)
gadrehdanęhgwihta	tow truck
gadrehdase	new car
gadrehdashǫǫh	many, a variety of cars, trucks, vehicles
gadrehdayanowe	train, fast car
gadrehdes	long car
gadrehdiyo	nice car
gadrehta	it moves itself, it rides
gadręnagaǫh	it smells good, sweet, appetizing
gadręnahshasde	it is a strong smell; it is strong-smelling
gadręniyo	a nice smell
gadręniyos	perfume
gadręnowanęh	a big smell, odour, scent
gadrihodahsgęhę	I did work (in the past, but I do not anymore) 
gadroda	diaper
gadwahta	I miss it always
gadwiyaǫgwahs	I adopt babies, children (all the time)
gaę	which; where; somewhere
gaę di	where is it then (emphasizing where)
gaę gwa nhǫweh	somewhere around; someplace; thereabouts
gaę gwa tsǫ	somewhere
gaę hǫweh	what place, where
gaę nhǫ degyahdihęh	where is the difference?
gaę nhǫweh	what place; where
gaę niga	which one; a specific thing
gaę niyowe	How far?
gaedagras	they (female or mixed group) fall down (not often used)
gaedagrǫ	they (female or mixed group) are lying around
gaedręnowanęh	they (female or mixed group) have a big smell, odour, scent
gaegęhjihshǫ heyagonadadaǫ	nursing home
gaegęhjihshǫ sagodinǫhsonyani	nursing home
gaegęhjihsǫǫh	they (female or mixed group) are elderly
gaegęhs	they (female or mixed group) see it
gaegowanęh	they (female or mixed group) are big
gaęgwanhǫ oya	elsewhere
gaehnahtsagrahs	their (female or mixed group) bums smell
gaehnęyes	they (female or mixed group) are tall
gaehnyagwai	they (female or mixed group) are Bear Clan
gaehǫwagehonǫ	female sailors
gaehsiha	they (female or mixed group) are standing in a group or clump
gaehwagwęniyo	the truth
gaehwajiyade	their (female or mixed group) family line
gaejǫdagrahs	they (female or mixed group) smell like fish
gaeksaah	they (female or mixed group) are two girls
gaeksagowah	they (female or mixed group) are pretty girls
gaeksashǫǫh	they (female or mixed group) are children
gaęna	song
gaęnagayǫh	old song
gaęnagayǫhgeha	old songs
gaęnagayǫhsǫh	old songs
gaęnagǫ	in the song
gaenagre	where they (female or mixed group) live (an area)
gaęnaǫnyǫ	songs
gaęnase	new songs
gaęnaseshǫ	new songs
gaęnaseshǫǫh	new songs
gaęnasǫǫh	songs, songs for Our Sustenance
gaęnawehtahoh	inserted song
gaenętsot	they (female or mixed group) have an arm
gaenhǫhdagrahs	their (female or mixed group) armpits smell
gaęnigǫha	they (female or mixed group) are waiting for something
gaęnis	long song
gaęniyo	nice song
gaęnodagye	they (female or mixed group) are making music as they travel
gaenǫgwageh	on their (female or mixed group) breasts
gaenǫhsesgehonǫ	Longhouse people
gaenǫhwes	they (female or mixed group) like it
gaenojot	they (female or mixed group) have teeth
gaęnot	music playing
gaęnotge	loud, amplified music
gaęnowanęh	loud music
gaęyanehsrǫnih	they (female or mixed group) are lawmakers
gaeyohes	they (female or mixed group) are gathering
gaga	crow, raven
gagada	white oak
gagaęhe	it is slanted
gagahe	price (of something)
gagahehdęhdǫh	lyed corn
gagahęta	a drill bit
gagahgaęheh	it is cross eyed
gagahihsda	eye glasses
gagahojiyas	lawn mower
gagahwehsa	shovel
gaganyagǫh	payment
gagaǫhsronih	it makes it taste good (i.e. herbs, spices)
gagawe	the act of rowing
gagawehsa	paddle
gagę	it is white; it is light-skinned, it is light-coloured
gageaniyǫdǫ	rags hanging
gagędo	it is stuck under something but it is removable (i.e. a piece of gum under a table); it is stuck on something else (i.e. a wall)
gagędoaę	it is attached to something
gagęh	it sees
gagęh otgǫhsgwatro	a lens
gagęh wadęnohsgwatro	a lens
gagehda	tie, scarf
gagęhętrǫni	it has been abused
gagehǫ	things are lying about
gagęhs	it sees
gagęihsdǫh	postponement; (literally: it has been moved)
gagęnhisǫhne	it was a long summer
gagetsgwęh	it is raised to a vertical position
gagǫdra	pillow, cushion
gagǫgwedase	they (female or mixed group) are young women
gagǫgwedaseshǫǫh	many young women (picked out from a group of women)
gagǫgwediyo	they (female or mixed group) are good natured people
gagǫgweh	women
gagohdahsǫhs	cloudy intervals
gagǫhsa	the mask
gagǫhstǫageh	on its whiskers
gagǫnyǫhsde	respect
gagǫnyǫhses	rhino tusk
gagǫtraheha	balance, weigh scale
gagowanahta	it makes things big
gagowanahta atgǫhsgwatra	magnifying glass
gagowanęh	it is big
gagrahs	it stinks
gagwa	a celestial orb (i.e. the sun, the moon)
gagwagyes	sun and moon
gagwidehjihah	early spring
gagwidehneh	springtime, in the spring
gagwiyoda	corn husk around a wooden mask
gagyadohai	I am taking a bath
gagye	it is flying along
gahada	forest, bush
gahadaędǫnyǫ	forests
gahadageh	on its throat
gahadakdagye	the edge of the bush
gahadanawęhdǫh	it is quenched
gahadanegaǫ	Iroquoian headdress
gahadatęhs	it is thirsty
gahadohnǫ	clothesline; it is hanging up to dry
gahadot	forest
gahadowanęs	big (thick) forest
gahagǫ	in the bush
gahahsrǫgyehta	lion
gahak	it did sit on something
gahata	it dries
gahdisoda	cardinal (bird)
gahe	it is sitting up on top of something; it is sitting here
gahędaę	meadow, pasture, field
gahędaędǫ	meadows
gahędagęha	field kind
gahędagǫ	in the field; meadow
gahędakah	by the field
gahehdagahatwęh	ploughed field
gahehdageh	on the land
gahehdageh wadrihodasta	farm machinery
gahehdageka gadrehda	tractor
gahehdehdeha otgwęhjia ohǫda	red whip (the one that grows in the field) 
gahęhdiyo	good ground
gahehdǫnes	bulldozer
gahehna	cargo, bundle, load
gahehnagri	wrinkled bundle
gahehnawęhęs	bail elevator
gahęhsta	it is drying out
gahęnagǫ	Hamilton (literally: in the bay)
gahetgę	it is ugly
gahetgęhdǫh	it is ruined, wrecked (by someone)
gaheyaodǫ	standing bunch of corn stalks
gaheyǫ	death
gaheyǫdaę	the body is lying (in state)
gaheyǫdanęhgwih	hearse
gaheyǫdanęhgwih hadonyes	he is a driver (of a hearse)
gahgwanahnǫh	the full moon (which brings rain)
gahgwase	new moon
gahidǫhǫ	Shake Pumpkin Ceremony
gahihǫh	it is spilled
gahkowanah	Green Corn Dance (big)
gahnahtsagrahs	a bum smells
gahnatsot	its attached ass; a bare ass; (said of children with no clothes on, etc.)
gahnawageh	Caughnawaga or Kahnawake; (literally: on the rapids)
gahnawagehonǫ	Caughnawagans
gahnawagǫ	Warren, PA (literally: in the rapids)
gahnawahshahsde	fast flowing currents or rapids
gahnawehta	Niagara Falls (literally: a waterfall falls there)
gahnawiyogeh	Oklahoma (literally: place of the beautiful rapid)
gahnawiyogehonǫ	Oklahomans
gahnega	a level; (literally: it contains liquid)
gahnega ehyadǫhkwa	pen
gahnegadahgwahs	water pump
gahnegahǫh	head lead on a stick
gahnegat	it is watery
gahnegayęhta	the water (water, etc.) is hitting against something
gahnegeha	it is drinking
gahnegohs	welding machine
gahnegowanęs	big waters
gahnęyes	it is tall
gahnih	it is barking 
gahnihs	it is barking 
gahninǫ	something that is bought
gahninǫhnyǫ	consumption; (things which are bought)
gahninǫhnyǫ hodidagwaihsǫhagye	Consumer's Affairs
gahniyadǫh	it is tight, tightened
gahnǫh	handkerchief
gahnos	Joe Pye weed
gahnyagwaidagęt	polar bear
gahnyahdot	it's got its head up
gahnyases	it has a long neck
gahnyasesgowah	giraffe
gahnyędahsa	beak
gahnyędahsageh	on its beak
gahnyętses	garfish
gahnyogwaji	walnut
gahnyǫgwidratadǫh	raisins
gahnyohso	boiled squash
gahnyǫhsrade	iron beams
gahnyǫǫh	it is white
gahnyǫǫh ohya	apples
gahnyǫǫhgeha	the White (i.e. Caucasian) kind, culture
gahnyǫǫhsra	iron, steel
gahnyǫsra	a bar
gahnyǫsra gadiyenahs	nuts and bolts
gahnyot	it is standing
gahodagowah	cannon, missile
gahodes	rifle
gahodǫh	it is drying (right now) 
gahǫga	elm
gahǫh	it has been spread on
gahǫhdageh	on my ear
gahǫhsra	cradleboard
gahǫhsra	a box
gahǫhsragǫ	in the box
gahǫhsrashǫǫh	many boxes
gahǫhsrot	mailbox
gahǫhsrot ehyadǫhsrǫdakwa	mailbox
gahǫhsrowanęh	big box
gahǫhwagayǫh	old fur (derogatory term for a person)
gahǫji	it is dark-coloured
gahǫjih dagusgowah	panther
gahǫjih ni	I am (exceptionally) dark
gahǫjihgeha	the black kind
gahǫjihgeha nigaęnodęs	black people's music
gahǫjihsda	a motor, engine
gahǫka	I understand
gahǫnadadaihadǫh	home fries or warmed up potatoes
gahǫnadayętwęh	potato field
gahǫnadiyos	nice potatoes
gahǫnado	boiled potatoes
gahǫnyǫ	things are setting there
gahotra	a package
gahǫwa	boat
gahǫwadihǫh	a leaning boat
gahǫwagehonǫ	Boat People
gahǫwagǫ	in a boat
gahǫwagowah	ocean liner
gahoweda	tube, cylinder
gahǫwedadenyǫ	plumber
gahowedahshǫǫh	hoses, cylinders
gahsagahęt	mouth
gahsageh	on my chest
gahsaka	I have a cough or I am coughing
gahsdagwa	dirty clothes
gahsdagwadahgwahs	bleach, javex
gahsdagwagrahs	dirty, smelly clothes
gahsdagwaniyǫdǫ	hanging laundry that is not clean
gahsdaha	I am crying
gahsdaowanęh	it is raining hard
gahsdawędra	rattle; horn rattle
gahsdęhodǫ	mountains, pile of boulders
gahsdęhot	mountain
gahsdodrowanęh	big, large feather
gahsdǫhgwage	Cookhouse (at the Longhouse)
gahsdowa	headdress done to here
gahsehdǫh	robbed, hidden
gahsehewahta	you are going along punishing people
gahsęhęyęhta	goldenrod; (literally: the frost hits it)
gahsehta	I do hide something
gahsęna	a name
gahsęnǫni	stored items
gahsęnǫnyahnǫ	stored items; it is put away
gahsęnowanęh	it is famous
gahsganes	I have longings for; I want; I desire
gahsgogye	it (something alive) is floating
gahsgohaǫdadǫ	Shake the Bush Dance
gahsgwa	stone, rock, boulder, bullet
gahsgwadahgwęh	a neutered animal, a gelding
gahsgwaot	headstone
gahsgwaowanęh	boulder
gahsgyaǫnyǫ	words of encouragement
gahshahsdęhsra	power, strength
gahshahstętratgǫ	evil power
gahshasde	it is strong, tough, powerful
gahshegowanęhta	you have pride in them
gahsheyahdehnyęhta	I am going along knocking people over
gahsheyahdogata	you raise children; foster parents
gahsidageh	on my foot
gahsidagrahs	my feet smell
gahsiyade	suspended line or string
gahsiyaniyǫt	fringe
gahsiyǫni	it is fringed
gahsnadas	Muscular Dystrophy
gahsnowe wahshedahs	calculator
gahsǫ	All Eaten Up (ceremony for charms) (Restricted)
gahsogwa	fork
gahsǫhda ǫhgwęnyaniyǫdahkwa	wire clothes hangers
gahsǫhdadaihę	hot plate
gahsohdǫt	hands on a clock
gahsohgǫt	pitcher
gahsohgǫt eyahkwa	pitcher
gahsǫwahda	nails, wire, needle
gahsǫwahdade	it has wires that stand out
gahsǫwahdodagwahs	the claw of a hammer
gahsręhędot	a standing, angry person
gahsrǫni	it has been made
gahsrǫnihs	it makes something
gahsrǫnyadǫh	it is made from
gahstǫdraohes	hay rake
gahstǫdrayętwęh	hay field
gahstǫdriyas	mower (for hay)
gahswanet	reinforcement, backing
gahswaǫgyǫ	gravel has been put down
gahswaǫgyǫ ohade	gravel roads
gahswęhda	wampum belt
gahsyadagye	a passing herd
gahsyaot	a standing herd
gahwajiyade	a family (matrilineal)
gahwajiyadogę	a certain family, dynasty
gahwajiyadogę jidęęshǫǫh gaga	the crow family or species
gahwajiyageha	the family kind
gahwajiyagehǫ	families
gahwajiyowanęh	large family
gahwęgaǫni	it is made into a splint
gahwęgaǫni ohwęga	splint
gahwęgaoo	it is notched
gahwęgatgwęh	notched (i.e. a casket)
gahwęjagahęta	a hole in the earth
gahwęsdo	foam
gahwęsdota	beer; (literally: it has a head on it)
gahwihsdaehs	clock
gahwihsdanęhgwih	it hauls money
gahwihsdanęhgwih gadrehda	armoured truck (i.e. Brink's truck)
gahwihsdanǫ	gold; anything expensive
gahyadǫhsra	paper
gahyadǫhsra deganǫhsǫta	stapler
gahyadǫhsra ǫhjagewahta	paper towels
gahyadǫhsradogęhdi	Bible
gahyadohsragahęta	paper punch
gahyadǫhsragwęniyo	the Constitution Act
gahyadǫhsranęhgwih gęgyohgwaę	Canada Post Corporation
gahyadǫhsrayenahs	paper clip
gahyagwahs	I am picking fruit
gahyagwahsgęhę	I was a fruit picker
gahyagwęhęgyesgęhę	I used to be a fruit picker
gahyagwiyageh	on my toes
gaidręhda	sleep, a dream
gaigęhjihshǫh	they are old
gaihgowahsǫ	they (female or mixed group) are royalty
gaihodęhsra gayanehsra hadihsre	Labour Board (literally: they are following the work laws)
gaihodęhsra gayanehsra honahsdihsdǫh	Labour Relations Board
gaihodęhsrashǫǫh	occupations, jobs
gaihodęhsriyo	it is nice work
gaihodęhsrowanęh	a lot of work, big work; it is a big job
gaihodęsrahsde	heavy work, hard work
gaihǫnyani	education
gaihǫnyani gohsdihsdǫh	she is an education director
gaihǫnyani tgayadagwęniyogeh	education office; education
gaihowanęh	glory
gaihsda	tin, metal
gaihsda gahsdawędra	tin rattle
gaihsdidrǫ	it has been surveyed
gaihsdowanęh	a loud noise
gaihwadogę	it is the main idea
gaihwadragwę	an answer
gaihwaędahgǫh	their collective responsibility; (literally: it is a collective responsibility)
gaihwaehsdǫ	a report
gaihwaętgwahnǫ	their (female or mixed group) collective responsibility; delegations
gaihwagehde	responsibility
gaihwahe	a presentation
gaihwahsrǫnih	justice; rules
gaihwajiyatgaha	they (female or mixed group) are social work(ers)
gaihwajiyatgaǫha	they (female or mixed group) are social work(ers)
gaihwanahsgwagowah	Midwinter Ceremony
gaihwaneaksra	sin
gaihwanegę	prayer, to pray
gaihwanenǫgyes	rumours
gaihwanǫhsgwagowah	Midwinter Ceremony
gaihwaohǫ hohsdihsdǫh	he is a research director
gaihwawehtahǫh	an inserted message
gaihwihsa	an agreement
gaihwihsahǫh	promise
gaihwiyohsdęhsra	religion; the Christian faith
gaisdowanęh	it is noisy
gaisra	leggings
gaiwaoni	welts
gaję	dish, plate, bowl
gajęehawidahkwa	tray
gajęgeha	Bowl Game
gajęhęhdas	buzzards, vultures
gajidanahnǫ	you are (literally: it is) about to cry
gajidęhtras	evening bird
gajidodagye	someone is going along crying
gajidot	it is crying
gajidrǫwadasehs	screwdriver
gajigodagye	she (literally: it) is going along nude
gajigwa	nakedness
gajih	come here; to beckon
gajihaya	Taking out the Cork (forbidden dance); the devil
gajihgǫni	mashed food
gajihgwae	it punches
gajihnyogwahe 	toque
gajihnyogwahe anahaotra	toque
gajihoha	straight pin, pin, brooch, safety pin
gajihsa	Husk Face, False Face
gajihsaniyǫt	a hanging cornhusk mask
gajihsda	lamp
gajihsdagwęniyo	the Main Fire
gajihsdahkwahdǫh	it is dim
gajihsdahkwahtwęh	it is dim
gajihsdǫgye	flaming star, meteor, comet
gajihsdot	the light is on
gajihsdota	light bulb, lamp
gajihsǫdaha	main plant of weeds (medicine) check translation
gajihstǫdaha	evening, morning star; Venus
gajihwa	hammer
gajihwęhta	sparrow hawk
gajihyot	type of bread baked in a shallow pan; pan bread; (it has bumps like porridge); oven bread
gajihyowanęh	sledgehammer, big hammer
gajihyowanęs	big hammers
gajikhedahǫh gwihsgwihs owahǫh	salt pork
gajinah	he is a male; genitals (of an animal)
gajinah deyonagaǫt	ram (literally: male sheep)
gajinǫdaweheh	Coming on Its Knees (Cayuga Chief Title)
gajinǫhdas	monkey; (literally: it eats bugs)
gajinǫhdasgowah	gorilla
gajiohdageh	on its claws, nails
gajisdot	a light
gajobtriyo	nice job
gajobtrowaneh	big job
gaka	slip; skirt
gakdehagwęniyo	the main root
gakedahswahęhędrǫh	I am going along scolding people
gakedahswahęhędrǫhk	I used to go along scolding people
gakehawakshǫǫh	my children
gakehjiashǫǫh	my older siblings
gakehyǫhwadę	my brother's children; my nieces and nephews
gakehyǫwadęhshǫǫh	nephews
gakenohaahshǫǫh	my aunts
gakenosęh	my uncles
gakenosęhshǫǫh	my uncles
gakeyadas	I rely on them
gakeyadawęh	my brother's children
gakeyadre	my grandchildren (said when reckoning a bloodline)
gakeyadreshǫ	my grandchildren
gakeyadreshǫǫh	my grandchildren
gakeyahsgyaǫnyǫh	I am giving them words of encouragement
gakeyǫhwadę	my brother's children; my nieces and nephews
gakeyǫhwadęhsǫǫh	my nieces
gakǫni	cooking
gakǫnihs	it cooks
gaksadanęhgwih	school bus
gaksaganye	Grinding Dishes (medicine ceremony)
gaksiyos	good dishes
gaksiyos eksaędahkwa	buffet, hutch
gaksohaihs	dish washer
gakwa	food
gakwa gananohsta	refrigerator
gakwadaihata	toaster oven
gakwahe	tea meetings, supper
gakwahsnowe	fast-food cooker
gakwahsnowe gakǫnihs	microwave oven
gakwashǫǫh	variety of foods
gakwiyo	good, nice food
ganada	town, community
ganadadwęniyo gadinyo	Fish and Wildlife
ganadaę	a town
ganadaędahs	toaster
ganadagehonǫ	urban dwellers, city people, urbanites
ganadagidaǫ	fried bread
ganadagǫ	in the town, community
ganadagǫhgeha goyadanęhgwita	city bus
ganadagwęniyo	capital city
ganadahi	Oneida, Wisconsin
ganadase	Newtown, Cattaraugus (literally: new town)
ganadenhehsǫdahkwa	a harness (for an animal)
ganadęnohk	they (animal) are related
ganadowanęh	city
ganagaedahkwa	a whistle
ganagaht	May (literally: budding leaf month)
ganagat	traditional flute (made of wood)
ganagwa	marriage
ganahaita	corn napper (an insect similar to preying mantis)
ganahaǫgwę	seeds; seed corn
ganahaowi	Midwinter Ceremony
ganahda	comb
ganahgǫta	bee
ganahgǫta gaditsehsdǫdata	honeycomb
ganahgowanęh	big barrel
ganahgowanęh	a big wife
ganahgwa	bass drum
ganahgwahniyadǫh	sanctioned marriage; lawful marriage
ganahkwase	a new marriage
ganahsgwa	tame animal, pet, domestic animal
ganahsgwahetgę	it is a bad pet
ganahsgwiyo	a good pet
ganai	pride, boastfulness
ganaida	a peacock; bride, boastfulness
ganaja	pail
ganajadahgwahs	grain auger
ganajaehs	grain threshing machine
ganajagędo	radiator
ganajahe	pail setting on s.t.
ganajaǫweh	cooking pots with the feet; iron kettle
ganajashǫǫh	cooking pots
ganajat	pail
ganajawęhęs	grain auger
ganajayętwęh	wheat field, oat field
ganajitgęhǫh	Taking Out Kettle (forbidden)
ganajiyas ganajaehs	a combine (machine)
ganajo	Ottawa, Ontario; Oneida, Wisconsin
ganajǫ	drum; water drum
ganajohsgwa	cup
ganajohsgwa eyahkwashǫoh	several sets of canisters
ganajohsgwagǫ	in the cup
ganajohsgwashǫǫh eyahkwa	canisters
ganajot	it is boiled; (literally: it is a standing pot)
ganajowanęh	bass drum, big kettle drum, big pail
ganajowitra	water drum
ganakda	bed
ganakda onasgwa	mattress
ganakdageh	on the bed
ganakdagwęniyogeh	at the most important seat of the Confederacy; refers to Onondaga Nation (Syracuse or Nedrow, N.Y.)
ganakdiyohsgeh	a good seat, good for someone to be there
gananawędahǫh	it has been melted
gananawęhdǫh	it has melted; it is soaked
gananawęht	it is melted
gananawęs	it melts
gananawęs ǫdejihsdodahkwa	candles
gananawęs ǫdejihsdodahkwa gayenahs	candelabra
gananohsta	refrigerator; (literally: it cools things off)
ganawaę	swamp, pond
ganawagehgeha	red whip (the one that grows in the water, pond)
ganawagǫ	in the pond, swamp
ganedagehonǫ	Lower End People
ganedagǫ	in, under the valley
ganedagǫ ganǫhses	Lower Cayuga Longhouse (literally: longhouse in the Lower End)
ganędęs	pine cones
ganegwae ganregwae	Eagle Dance; Strike the Stick
ganęhaihta	corn bug
ganęhęhsrǫni	a line formed
ganęhętadǫh	dried corn
ganęhgwih	it hauls things
ganehǫ	Drum Dance
ganęho	boiled corn
ganehsadageh	Kanesatake, Oka (literally: on the sand)
ganehsda	a board
ganehsdadęhda	a floor
ganehsdadenyǫ	rafters (made of board)
ganehsdageh	on the floor
ganehsdageh edęhdakwa	rug
ganehsdaot	headboards, grave markers, billboards, signs; (literally: standing board)
ganęhsgwęh	stolen property, plunder; something robbed
ganehshęhę	dogfish
ganehwa	leather, hide
ganehwae	Delaware Skin Dance
ganehwas	Stone Giant (legendary figure)
ganehwatadǫh	dried, drying hides
ganesdaodǫ	boards
ganęsgwaǫtaah	March (literally: a few frogs month)
ganęsgwaǫtagowah	April (literally: a lot of frogs month)
ganętsageh	on its arm
ganętsot	it has an arm; an (attached) arm; a sleeve
ganeyǫhs	a medical clinic; a healing place; (literally: it heals)
ganhahdagehǫ	timber, big logs lying around
ganhaǫh	it is hired
ganheda	porcupine
ganhęhjot	its tail; it has a tail
ganhehsa	harness, ribbon, laces
ganhehsagahęhah	nylons
ganhehsagahęhah adahditra	nylons
ganhehsagahęhęh	silk
ganhehsra	to take someone's part; advocacy
ganhodǫgwęh	it is open
ganhogahęt	doorway
ganhoha	door
ganhohaniyǫt	gate, door
ganhǫhdagrahs	its armpits smell
ganhya	stick
ganigahęhsrahodęhsta	fabric softener
ganigǫha	the mind
ganigohahetgę	a bad-thinking mind
ganigǫhahniyadǫ	the act of counselling
ganigǫhatsęhta	a tired mind
ganigǫhiyo	harmony, of good mind
ganihaǫ	it is strung
ganihaǫ otgoa	strung wampum
ganihęha	I always quit
ganihgahęhsriyo	cotton, silk
ganihgǫhage	on the minds
ganikǫ	seam
ganikǫgwahs	stitch ripper
ganikǫha	sewing machine
ganiyǫdak	it hung there, it used to hang there
ganiyǫdǫ	White Dog Feast (literally: a lot of them are hanging there)
ganiyǫt	it is hanging
ganǫ	it is expensive, dear, precious
ganǫ tsę nǫǫgwayadawęh	tragedy has befallen us
ganǫ tsęh naawęh	it was a great loss
ganǫaę	a head lying on the ground
ganogai	Threatened (Seneca Chief Title)
ganogęyǫ	Grinding the Arrow (forbidden ceremony)
ganǫgwadahgwahs	milking machine
ganǫgwageh	on its breast
ganogwahihs	milkweed
ganǫgwastehsdǫ	cheese
ganǫh	arrow
ganohaehs	washing machine
ganǫhgidawi	Curled Hair (Seneca chief Title)
ganǫhgwatro	Sour Springs (literally: medicine in the water there)
ganǫhgwatro ganǫhses	Upper Cayuga Longhouse
ganǫhgwatrohonǫ	Sour Spring People
ganǫhgweyodǫ	Standing Corn Cobs (Oneida Chief Title)
ganǫhkwahsra	I love
ganǫhǫhkdehsra	an ache
ganohǫkdehsra	sickness
ganǫhǫnyǫh	Thanksgiving (Address)
ganǫhǫnyǫhk	Thanksgiving (Address)
ganǫhsa	a house
ganǫhsadaehadahkwa	it is used to heat up the house
ganǫhsadaihata	stove
ganǫhsagayǫh	old house
ganǫhsagędrahgǫh	foundation (of a building)
ganǫhsagęt	white house
ganǫhsagwegǫh	all over the house
ganǫhsagwęniyo	administration building
ganǫhsakah	beside the house
ganǫhsakdagye	around the house; alongside the house (i.e. a yard that isn't fenced in); a brown wren
ganǫhsanohsdahkwa	air conditioner
ganǫhsaǫweh	cookhouse (at the Longhouse)
ganǫhsase	new house
ganǫhses	Longhouse
ganǫhsesgeh	at the Longhouse
ganǫhsesgeh ganǫhsgǫ	in the Longhouse
ganǫhsesǫs	Longhouses
ganǫhsganyęh	a riot
ganǫhsgǫ	in the house
ganǫhsgǫhka agyadawitra	housecoat
ganǫhsgǫhka ahdahgwa	house slippers
ganohsgwita	broom
ganohshęhsra	jealousy
ganǫhsidre	snail
ganǫhsiyohsgeh	living room
ganǫhsodaęnyes	human sicknesses
ganǫhsodaihadahe	hot plate (sitting on s.t.)
ganohsohdanǫ	AIDs; disease
ganǫhsotge	it is a standing big house
ganǫhsowanęhgowah	Parliament
ganǫhsowanęhgowah	mansion
ganǫhsowanęhneh tadihwaheha	Parliament buildings
ganǫht	it (usually an animal) is in something
ganǫhwes	it likes
ganojaę	it has teeth
ganojes	tusk
ganojot	it has teeth
ganǫkwatrehonǫ	Sour Spring People
ganǫnhes	it fills up all the time
ganǫnya	a dance
ganǫnyaędahsdǫh	it is made frozen
ganǫnyaędahsta	freezer
ganǫnyǫ	New York City (literally: expensive things)
ganǫnyowanęh	Great Dance (goes with Great Feather Dance)
ganǫnyowanęh	Big Dance
ganowa	guitar; any string instrument
ganǫwadenyǫ	it is being strained
ganowagaheah	box turtle
ganowaniyǫt	hanging lock
ganǫwayęhdǫ	a purchase
ganrahdahgah	February (literally: rustling leaves)
ganrea	Eagle Feathers (for making friends; the one who asks for the friendship holds the feathers)
ganyadageh	to, at, on the lake
ganyadageha	lake kind
ganyadagehonǫ	lake people, cottagers
ganyadagǫ	in the lake
ganyadahka	smelts
ganyadainyǫ	lakes
ganyadaiyo	Ontario; Lake Ontario (literally: beautiful lake)
ganyadakdagye	along the lake or shoreline
ganyahdę	turtle
ganyahdę gahsdawędra	turtle rattle
ganyahdęgowah	snapping turtle
ganyahdęgowah gahsdawędra	snapping turtle rattle
ganyakwai	seal (referring to its lack of a neck)
ganyakwaigowah	walrus
ganyatsǫni	it is braided
ganyęgehonǫ	Mohawk people
ganyęgehonǫgeh	any Mohawk Territory
ganyęhot	a (standing) chimney
ganyo	wild animals
ganyoda	spoon, canoe, birch bark canoe
ganyodowanęh	tablespoon
ganyoses	long nose
ganyosesgowah	elephant
ganyoshǫǫh	wild game, wild animals
ganyosoah ganyo	wild animal meat 
gao	this side; this way; at this time; before; less
gao nawadih	previously
gao nawahtgeh	before that time
gao nigadęs	it is thinner
gao nitgade	it is lower
gao niwa	it is smaller (than)
gaǫ niwakyędahkwa	a smaller chair
gao niyǫ	less
gao nǫdahse	come this way!
gao shęh niyowe	before that time
gao shęh nyowe	before that time
gaǫda	log
gaǫdadahdogata	foster parents
gaǫdade	beam
gaǫdadenyǫ	log rafters
gaǫdaę	dead tree, log lying on the ground
gaǫdaehs	woodpecker
gaǫdageh	on the log
